sentence,label,source
"Western Digital is ""flashing"" green, adding to the hope that the flash market  
is improving (WDC) https://t.co/9moaLxySqN $WDC",positive,Twitter
$GOOG $GOOGL - Google rivals want EU to investigate vacation rentals https://t.co/8nXAOxhcqG,neutral,Twitter
$PZZA - Papa John's International (PZZA) Investor Presentation - Slideshow. Read more and sign up for updates:… https://t.co/S2JCz391yG,neutral,Twitter
Nokian Tyres ' tyres are considered genuine winter tyres in Russia .,neutral,FPB
Climate activist @GretaThunberg called out business and political leaders at #COP25 for using “clever accounting an… https://t.co/VJWuC2EOD4,neutral,Twitter
"GBP/USD, EUR/GBP, USD/CAD – Limited Gains for Euro, U.S. Dolllar",positive,Twitter
Sunrise Resources operates in Russian near-shore development markets through its wholly-owned Russian subsidiary and has 80 % of its personnel in Russia .,neutral,FPB
"At this growth rate , paying off the national debt will be extremely painful .",negative,FPB
The Estée Lauder Companies Inc. Declares Quarterly Dividend of $.48 Per Share,neutral,Twitter
Looking for a play on $CVX?  https://t.co/yGYLAiHwO3,neutral,Twitter
"Like our Premarket posts? Come check us out at https://t.co/yChRCoaR8v

No bullshit live breaking news and rumors w… https://t.co/rirBmfyRrj",neutral,Twitter
"The Network Test Business is part of Elektrobit 's Test and Automation Business Segment and employs 39 people in Finland and 22 people abroad , mainly in the US and Asia .",neutral,FPB
$XLE $USO $BNO - Energy extends YTD loss to 15% as oil prices plunge https://t.co/m4VzJmxNUh,negative,Twitter
33 genius travel hacks to upgrade your holiday trips https://t.co/ZVckjmpdVE,neutral,Twitter
"Becton, Dickinson EPS beats by $0.01, beats on revenue",positive,Twitter
French Connection : Form 8.5 (EPT/RI) (pdf) #FrenchConnection #Stock #MarketScreener https://t.co/5nuRSLzSEC https://t.co/Gt8EWF8Omq,neutral,Twitter
Does adidas AG's (ETR:ADS) CEO Salary Reflect Performance?,neutral,Twitter
Dragonfly collaborates with Abbvie for autoimmune diseases and oncology,neutral,Twitter
The project also implies an underground parking lot for 56 vehicles .,neutral,FPB
"$CONN - Conn's, Inc. 2020 Q3 - Results - Earnings Call Presentation. Read more and sign up for updates:… https://t.co/oX40naqXia",neutral,Twitter
UPDATE 1-EU regulator backs approval for GSK injectable asthma drug,positive,FiQA
"Today, the IMF Executive Board approved a disbursement of €176.5 million to #NorthMacedonia. This financial suppor… https://t.co/hloz3ZRGNH",neutral,Twitter
Choking Haze Is Turning Sydney Into the World’s Laboratory,neutral,Twitter
Video of Serena Williams & Olympia Dancing to Pampers’ “Wild Child Wiggle” Available on Business Wire’s Website,neutral,Twitter
"The worst scramble for cash is happening in an opaque corner of the market, where the Fed has little control, write… https://t.co/1ZddVnhX3j",neutral,Twitter
$RVNC: Revance Therapeutics submitted a BLA to the FDA for DAXI in the treatment of moderate to severe glabellar... https://t.co/G43keJ8eQ2,neutral,Twitter
UPDATE 3-Ex-Barclays director accused by US of illegal tips to plumber,negative,FiQA
Think $FMS will challendge 200-EMA in not distant future.   Look at yesterday's volume,positive,FiQA
"London open: Taylor Wimpey and Ashtead drive markets higher, Barclays falls",positive,FiQA
Record PE deal numbers in 2019 fail to hide global deal value drop,neutral,Twitter
"Amazon $AMZN, for the first time, directly links comments by @realDonaldTrump to the award of the contract to Micro… https://t.co/vuQvHTMP3M",neutral,Twitter
$RDC Rowan Expands Share Repurchase Program to $150 million,positive,FiQA
"UK 's Sarantel to outsource part of its processes to Elcoteq plant in Estonia LONDON , Oct 13 , BNS - The British miniature antennas maker Sarantel has signed an agreement to outsource its assembly test and supply chain processes to the plant of Elcoteq in the Estonian capital Tallinn .",neutral,FPB
"$ACST if it breaks 78c, it can easily run to $1 definitely on watch.",positive,Twitter
"`` This contract demonstrates our ability to apply our minerals and metals technologies in adjacent industries , such as oil shale processing .",positive,FPB
"Cencorp , headquartered in Virkkala , Finland , develops and supplies automation solutions to the electronics and semiconductor industry that enhance productivity .",neutral,FPB
"The S&P is up 0.9% and energy is the best performing sector; XLE is up 1.8%, double the S&P.",positive,Twitter
Yellow Wood names second partner this year with promotion of CFO Pizzi,neutral,Twitter
India IIP Data: Industrial Production Contracts 3.8% In October ,negative,Twitter
"Syanptics raised on forecast, margin strength",positive,Twitter
A tinyurl link takes users to a scamming site promising that users can earn thousands of dollars by becoming a Google ( NASDAQ : GOOG ) Cash advertiser .,negative,FPB
T-Mobile CEO takes the stand in T-Mobile/Sprint merger trial,neutral,Twitter
MGM Growth falls 1.1% after starting share offering,negative,Twitter
$HYMTF - Hyundai Motor Company: Strategy 2025 Spells Success. Continue reading: https://t.co/a46z3UvdXq #markets #stocks #investing,neutral,Twitter
"$TSLA recalls 2,700 Model X cars. Stock dropping hard...",negative,FiQA
How Should Investors React To Select Medical Holdings Corporation's (NYSE:SEM) CEO Pay?,neutral,Twitter
Loss after taxes amounted to EUR 1.2 mn compared to a loss of 2.6 mn .,positive,FPB
"Introducing Highway Holdings (NASDAQ:HIHO), The Stock That Slid 59% In The Last Year",negative,Twitter
Lovesac stock price target cut to $28 vs. $33 at Canaccord,negative,Twitter
"Following its strategy , Tikkurila has established a fully-owned sales company TOO Tikkurila in Almaty , Kazakhstan , for marketing decorative paints under the Finnish Tikkurila brand and the Russian Teks brand .",neutral,FPB
Uefa explores move into Champions League streaming https://t.co/Ifdw0O5RDm,neutral,Twitter
Oil rises on likely OPEC+ output cuts amid coronavirus outbreak,positive,Twitter
This amount will not be included in the pensionable salary .,neutral,FPB
Stocks bounce back to record territory,positive,Twitter
Dallas’ Imaginuity Ranks 16th on 2019 Dallas 100 https://t.co/FxT5vSjvYX https://t.co/amRGOJDO5k,neutral,Twitter
AstraZeneca chases Acerta to secure next cancer drug winner,positive,FiQA
"Canadian ministers meet with CN Rail, union as strike looms",neutral,Twitter
The Federal Reserve has launched an array of programs aimed at helping the markets and economy through the coronavi… https://t.co/pEUAkq0LF0,neutral,Twitter
Futures eke out gains after Fed holds rates steady,negative,Twitter
"The solar panel market could drop by 34% this year, analysts said, as residential installations plummet. Read more… https://t.co/aMleU6pUld",negative,Twitter
Australia's Westpac accused of 23 million money laundering breaches,negative,Twitter
Lululemon Athletica price target raised to $255 from $220 at CFRA,positive,Twitter
"Taco Bell, KFC parent Yum Brands' stock drops after profit misses but revenue beat",negative,Twitter
$MTB - M&T Bank: Too Soon To Call The Turn. Read more and get updates on any stock! https://t.co/Ys82ZwdFPl #business #economy #stocks,neutral,Twitter
"Products include Consumer Electronics devices such as mobile phones and their accessories , set-top boxes , flat panel TVs as well as System Solutions products such as infrastructure systems , modules and other industrial segment products .",neutral,FPB
The lay-offs will start gradually and will last from one to six weeks .,neutral,FPB
Nokia is Preparing to Come Roaring Back in the New Decade,positive,Twitter
"The negotiations were carried out in a constructive manner , and all parties tried to find a solution to the situation .",positive,FPB
Shire share price under pressure after $32bn Baxalta deal,negative,FiQA
"Finnish security and privacy software solutions developer Stonesoft Oyj said on January 7 , 2008 that the preliminary sales of its StoneGate products grew by 59 pct year-on-year to 3.6 mln euro ( $ 5.3 mln ) for the fourth quarter of 2007 .",positive,FPB
The agreement expands Tekla Structures ' scope of use to bridge design .,positive,FPB
JUST IN: The S&P 500 rallies 7% to its highest since March 13 https://t.co/RyoffM2Sy1 https://t.co/hv9Lphk30E,positive,Twitter
Glaston 's net profit for the third quarter of 2007 dropped to 2.4 mln euro ( $ 3.5 mln ) from 3.5 mln euro ( $ 5.1 mln ) for the corresponding period of 2006 .,negative,FPB
"In 2009 , KONE had annual net sales of EUR 4.7 billion and approximately 34,000 employees .",neutral,FPB
"New York AG used pulled fraud claims to score political points, Exxon says",neutral,Twitter
Drugmaker Sanofi expects further profit growth from narrowed focus,positive,Twitter
China’s Banks Are Going to Suffer. But Not Equally,negative,Twitter
U.S. arrests three in alleged $722 million cryptocurrency fraud https://t.co/r7JbcAUepE https://t.co/I6DBZ4xKzB,neutral,Twitter
"Stora Enso R shares rose 1.20 pct to 11.84 eur , UPM-Kymmene was also dragged higher , rising 1.68 pct to 17.56 eur and M-Real B added 2.38 pct to 4.30 eur .",positive,FPB
Wells Fargo Downgrades Netflix $NFLX to Underperform but sees as a takeover target. NFLX could get acquired: NFLX i… https://t.co/vuNpYwRDSg,negative,Twitter
"A Tokióban található teamLab Planets, a múzeum, ahol a víz a kiállítási közeg, idén tavasszal egy kis időre cseresznyevirág-szirmokba öltözik. A kiállítás 2020. március 1-től tekinthető meg.",neutral,Twitter
"Four-week jobless claims average falls 3,000 to 211,750",positive,Twitter
"Cboe Global Markets EPS beats by $0.08, beats on revenue",positive,Twitter
Kohl’s Plunges Most in Almost Three Years on Profit Forecast,negative,Twitter
The Fed sidesteps a bickering Congress with sweeping rescue plan https://t.co/SBxYPhDR2q,neutral,Twitter
"Lifetree was founded in 2000 , and its revenues have risen on an average by 40 % with margins in late 30s .",positive,FPB
"According to Finnish FIM Bank , Alpro 's price would be around EUR 100mn-150mn .",neutral,FPB
The expansion includes the doubling of the floor space and the addition of more lifting capacity and production equipment .,positive,FPB
Weekly market update : Good corporate results counter virus fears #Weeklymarketupdate #marketscreener… https://t.co/UWvHmj6TtT,positive,Twitter
Charles Schwab : to Buy TD Ameritrade for $26 Billion #CharlesSchwab #Stock #MarketScreener https://t.co/e87lZk14fs https://t.co/sAAxwz5a2p,neutral,Twitter
at 9:00 EET Alma Media 's Annual Report for 2009 is scheduled to be published in calendar week 9 .,neutral,FPB
Commodities trader Trafigura reports a record year in oil and metals https://t.co/8l4XoE7kMC,positive,Twitter
"When completed , the 120-meter Watchtower will be the highest building in Ireland .",neutral,FPB
NVIDIA Corporation Just Beat EPS By 16%: Here's What Analysts Think Will Happen Next,positive,Twitter
Our @Nasdaq employees this week have set out to create global impact by making meals to go and hygiene kits for the… https://t.co/iJRGHxowlC,neutral,Twitter
nice chart ty for the share,positive,Twitter
New BoE governor makes plea to Brussels on City access https://t.co/5X7rXAAsHG,neutral,Twitter
"Rak Bank CEO on Earnings, Margins, M&A",neutral,Twitter
The U.S. and China are trying to agree on the amount of American agriculture products that Beijing is willing to pu… https://t.co/OrDpbgZPfY,neutral,Twitter
A Little Less Trade Uncertainty as 2019 Winds Down: Economy Week,positive,Twitter
Funko opens new store in Hollywood,neutral,Twitter
Here's the breakdown of Sen. Bernie Sanders estimated $60 trillion tax plan. https://t.co/9V6UzmgEqL https://t.co/QohPU0ObdX,neutral,Twitter
"ProAmpac Awarded ISO Certifications in Cincinnati and Suffolk, Va. Facilities",neutral,Twitter
Gilead's Second CAR-T Treatment Suffers the Same Issues as Yescarta,negative,Twitter
"Life Is Good, Say 90% of Americans",positive,Twitter
"The maximum amount of the capital loan will be EUR30m and the minimum subscription -- EUR10 ,000 .",neutral,FPB
"Gundlach: ""those cynics out there who call it quantitative easing, they do have a point""",neutral,Twitter
"To see more of New Haven Register , or to subscribe to the newspaper .",neutral,FPB
Delivery is expected to take place later this month .,neutral,FPB
"In the second quarter of 2010 , the company 's net profit was EUR1 .7 m compared to a net loss of EUR1 .3 m in April-June 2009 .",positive,FPB
"David Vélez founded Nubank to offer financial services to Brazilians who had never had a bank account before. Now,… https://t.co/S665GCSUwu",neutral,Twitter
InfraCap REIT Preferred ETF declares $0.12 dividend,neutral,Twitter
Roku jumps as optimism builds for earnings,positive,Twitter
$EFT - Eaton Vance Floating Rate Income Trust declares $0.0840 dividend https://t.co/miXZBRkoIq,neutral,Twitter
America’s states are increasing their spending at the fastest pace since the end of the Great Recession https://t.co/TbYaIrKXGO,positive,Twitter
$AXP Looking for continuation with volume increase http://stks.co/c8sR,positive,FiQA
Baird Upgrades Tesla Motors $TSLA to Outperform https://t.co/1FA6aTOqlw,positive,FiQA
‘Significant relationships will be noted in our corporate love register’ https://t.co/kSrQi6kd9v,neutral,Twitter
Phillips-Van Heusen goes ex-dividend tomorrow,neutral,Twitter
A Sliding Share Price Has Us Looking At RaySearch Laboratories AB (publ)'s (STO:RAY B) P/E Ratio,negative,Twitter
$JAN crazy move in pre-market. Pivot points on chart. https://t.co/TMpQ1C0LDl,neutral,Twitter
Medtronic +2% premarket on FQ2 beat,positive,Twitter
"Finnish electronics contract manufacturer Scanfil reports net sales of EUR 58.9 mn in the second quarter of 2007 , down from EUR 62.4 mn a year earlier .",negative,FPB
Why am I watching Arkansas v LSU?,neutral,Twitter
Canada’s Labor Market Picks Up Steam for Second Month,positive,Twitter
Big Four/government: no freeze on fees https://t.co/korHk2eqMz,neutral,Twitter
"Mortgage Loan Rates Dipped Last Week, Refinancings Dropped",neutral,Twitter
PSA board signs off on Fiat Chrysler merger: source,neutral,Twitter
Japan Goes Into Reverse on Going Green,negative,Twitter
"Exports make up more than 80 per cent of our sales , so the name Glaston also reflects a truly internationally operating company , '' explains Kyro 's President & CEO Mika Seitovirta .",neutral,FPB
$SRNE: Sorrento Therapeutics says rejects cash acquisition proposal for between $3.00-5.00/share https://t.co/ib0vORvPPF,neutral,Twitter
MAXIMUS Reports Fiscal Year 2020 First Quarter Results,neutral,Twitter
"At the end of last week , Protalix BioTherapeutics Inc ( AMEX : PLX ) published a prospectus for a first offering on AMEX of about 5 % of its share capital .",neutral,FPB
The pretax profit of the group 's life insurance business increased to EUR 36 million from EUR 27 million .,positive,FPB
November Payrolls Preview: This May Actually Matter https://t.co/QW1OITFtcz,neutral,Twitter
$PSEC - Prospect Capital declares $0.06 dividend https://t.co/Jiz2vIKZdM,neutral,Twitter
Sterling rallies as Tories unite behind Brexit plan,positive,Twitter
AU Optronics reports Q4 results,neutral,Twitter
TSX opens higher on signs of coronavirus slowdown #TSX #economy #MarketScreener https://t.co/VfqXgfaNR8 https://t.co/myrDnZCInx,positive,Twitter
$BONE Earnings Stocks Poised to Pop http://stks.co/2zWE,positive,FiQA
$PREKF - Prairiesky Royalty reports Q4 results https://t.co/Bs0O5QMHo9,neutral,Twitter
Sydney Declares Public Health Emergency,neutral,Twitter
Edited Transcript of WIZZ.L earnings conference call or presentation 13-Nov-19 9:00am GMT,neutral,Twitter
Cinedigm Corp. Analysts Are Cutting Their Estimates: Here's What You Need To Know,negative,Twitter
L'Oreal rallies as quarterly results offset China concerns,positive,Twitter
Exxon Baton Rouge refinery fire threatens oil demand https://t.co/BwrixR2J8d,negative,Twitter
Indonesia’s Jokowi Warns of Economic Calamity From Forest Fires,neutral,Twitter
Relations with the City have been further damaged by comments from Mr Ashley criticising City investors and analysts as `` cry babies '' .,negative,FPB
CompaniesHome Retail trims gains but is considered 'in play',positive,FiQA
"Yum Brands misses same-store sales, profit estimates as Pizza Hut battles rivals",negative,Twitter
"The total value of the project is estimated to be over 3.0 mln euro $ 4.4 mln , of which the services will be over 2.0 mln euro $ 2.9 mln and third-party licences more than 1.0 mln euro $ 1.5 mln .",neutral,FPB
The 19 Dishes You Should Have Eaten in 2019,neutral,Twitter
Adani Joins India’s Dollar Bond Frenzy With $1 Billion Sale,neutral,Twitter
Global Stocks Gain as China Moves to Boost Intellectual Property Rights #index #MarketScreener… https://t.co/eFfDIA7DkZ,positive,Twitter
Metso Foundries Jyvaskyla Oy will discontinue production on this line by 30 September 2008 .,neutral,FPB
The report contains category level company and brand share as well as distribution share information for 2007 and 2008 .,neutral,FPB
"OneMain Holdings, Inc. Reports Fourth Quarter 2019 Results",neutral,Twitter
Administration Proposal to Create a Uranium Reserve Addresses a Glaring Vulnerability #Stock #MarketScreener… https://t.co/hBKzuNtGpP,neutral,Twitter
EUR/USD Bearish Impulse And Flag Aims at 1.0940 Target,negative,Twitter
$XLE: Sector Briefing: Energy https://t.co/rN4haqh9N9,neutral,Twitter
$AAPL iPhone shipments on track to exceed forecasts - MarketWatch https://t.co/2CXahJIX7d,positive,FiQA
Hedge Funds Are Selling PennyMac Financial Services Inc (PFSI),negative,Twitter
"Vaahto , which has entered the deal via its subsidiary Vaahto Pulp & Paper Machinery , will supply two of the units in the end of 2010 , while the remaining ones are expected for delivery in the beginning of 2011 .",positive,FPB
"In the end of 2006 , the number of outlets will rise to 60-70 .",positive,FPB
Fed’s Rosengren Says Pursuing 2% Inflation Could Distort Markets,neutral,Twitter
DNA testing company Veritas Genetics is suspending American operations and cutting all U.S. staff after a financing… https://t.co/LZZNsdU41T,negative,Twitter
Three breakfast reads https://t.co/VHJwACKpI8,neutral,Twitter
India’s aviation regulator asks an airline to ground one unmodified Airbus A320neo for every new addition to its fl… https://t.co/9N4YSMliaG,neutral,Twitter
.@barronsonline sees #Apple at $150/share in a year (+36% from today) on growing services business. $AAPL https://t.co/3BDNEKN7l1,positive,FiQA
Ashok Leyland Ties Up With lClCl Bank For Vehicle Loans,neutral,Twitter
"Furthermore , the company will sell the warehouse and office buildings in Loudeac and Saint Marcel and lease new joint premises for these operations in Morvillars .",neutral,FPB
Altice USA places i24NEWS on AT&T nets,neutral,Twitter
OneWater Marine raised $55.4 mln in the IPO,neutral,Twitter
A REIT Activist's New Positions In Q3. Continue reading: https://t.co/rv7TZZGn6g #business #finance #trading,neutral,Twitter
The closing of such transaction took place today .,neutral,FPB
Finnish construction company YIT HEL : YTY1V said it had agreed to take over German facility engineering and facility systems firm Caverion for EUR73m USD90 .3 m .,neutral,FPB
"Malibu Boats EPS beats by $0.25, beats on revenue",positive,Twitter
Why Tiffany Stock Just Popped 6%,positive,Twitter
"WATCH: Softbank chief Masayoshi Son and Alibaba founder Jack Ma, two of Asia’s most prominent tech entrepreneurs, t… https://t.co/tpuoNFPYvf",neutral,Twitter
Edited Transcript of GILT earnings conference call or presentation 19-Nov-19 2:30pm GMT,neutral,Twitter
Appeals court tosses Democrats’ emoluments suit against Trump,neutral,Twitter
Amanda said that it had already made a USD5 .0 m investment commitment in Russia Partners II fund in July 2005 .,neutral,FPB
"ST. PETERSBURG , Oct 14 ( PRIME-TASS ) -- Finnish tire producer Nokian Tyres plans to invest about 50 million euros in the expansion of its tire plant in the city of Vsevolozhsk in Russia 's Leningrad Region in 2011 , the company 's President Kim Gran told reporters Thursday .",positive,FPB
"Also Ruukki Construction , Rautaruukki 's construction division , is initiating employer-employee negotiations at its sites in Alaj+ñrvi , Vimpeli and Per+ñsein+ñjoki in Finland .",neutral,FPB
"Stock Market Live Updates: Wall Street sets new highs despite Home Depot, Kohl's",positive,Twitter
$PSTV could squeeze over 2.25 https://t.co/zoCKVAuApH,positive,Twitter
Trump Grabs Spotlight Ahead of New Hampshire Democratic Primary,neutral,Twitter
$YHOO making new HOD,positive,FiQA
"U.S. job openings remained elevated in February, prior to the unprecedented surge in layoffs https://t.co/0XdZbEhmKj https://t.co/qX0INGsJYQ",negative,Twitter
Ottawa Savings Bancorp reports Q4 results,neutral,Twitter
AbbVie Q4 EPS $1.88 vs. loss per share $1.23,positive,Twitter
Uber Plans to Appeal London License Ban,neutral,Twitter
"Kemper EPS beats by $0.04, beats on revenue",positive,Twitter
News Highlights : Top Global Markets News of the Day #NewsHighlights #economy #MarketScreener… https://t.co/gQINsmgO3f,neutral,Twitter
Plus500 revenue soars nearly 500% as volatility fuels boom in bets https://t.co/MJgXeryFYK,positive,Twitter
$GLD $SLV - Gold & Silver Update: December May Be A Bottom. Read more: https://t.co/c0d06nlqQJ #trading #finance #stocks,positive,Twitter
Profile & Software A E : Announcement 9631/2019 (no English translation available)  #Stock #MarketScreener… https://t.co/paZCY9mp4a,neutral,Twitter
"JP Morgan expects that Scala will lower Nobel Biocare 's growth forecast for 2007 from the current guidance of 23-25 pct , as well as the operating margin target from the current 34-35 pct .",negative,FPB
"Highlight: “You don’t copy Amazon, you learn the best practices,” author Ram Charan says. “It has three key element… https://t.co/f7RRODQY2R",neutral,Twitter
"Merger Monday roars back — LVMH buys Tiffany, Charles Schwab buys TD Ameritrade https://t.co/ZlwYRDABW8 by… https://t.co/og4F2vlk7S",neutral,Twitter
Hawaiian Electric goes ex-dividend tomorrow,neutral,Twitter
It also said its third quarter diluted EPS came in at 0.34 eur compared with 0.16 eur in the same quarter a year ago .,positive,FPB
Why does a company become a monopoly? @Noahpinion looks at an intriguing theory https://t.co/cpvzbRLD74 via @bopinion,neutral,Twitter
Last year SysOpen Digia invested in IBM product know-how in the building of portal and trading place systems and successfully implemented customer solutions supported by it .,positive,FPB
Preferred stocks offer investors an alternative to bonds #investinyou (In partnership with @acorns.) https://t.co/zCoO1zkmdp,neutral,Twitter
Walmart Inc.’s Jet subsidiary is ending its fresh-food delivery business just a year after introducing the service… https://t.co/MpzLxKX3cW,negative,Twitter
Bernie Sanders Builds Big Primary Machine to Win Prized California,neutral,Twitter
Operating profit rose to 22.1 mln eur from 19.9 mln .,positive,FPB
"Spanish companies, households snap up state-backed emergency credit  #Stock #MarketScreener https://t.co/o9iBDZEijE https://t.co/FQyY8WaORo",neutral,Twitter
Exclusive: Daimler seeks majority control of its main China joint venture,neutral,Twitter
"Highlight: “It will be the first insulin pill in the history of insulin,"" Oramed CEO @NadavKidro says about their n… https://t.co/sJvKOoZFwl",neutral,Twitter
NortonLifeLock stock price target cut to $18 from $25 at Deutsche Bank,negative,Twitter
Increase in October sales raised to 0.4% from 0.3%,positive,Twitter
"EBIT excluding non-recurring items , totalled EUR 67.8 mn , up from EUR 38.1 mn .",positive,FPB
Mild weather boosts U.S. job growth; but benchmark revisions show ebbing momentum,positive,Twitter
DOJ Charges 4 Chinese Military Hackers In Equifax Breach | #FreeZeroHedge https://t.co/EmdkTiF5Ib,neutral,Twitter
Telenor says Huawei will still play role in 5G rollout,neutral,Twitter
Investors Get 2 New ESG ETFs for 2020,neutral,Twitter
"The growth in the activeness of Talentum 's customers , which started at the end of 2009 , continued during the reporting period , the company stated .",positive,FPB
$EPR: EPR Properties announces sale of charter school portfolio for approximately $454 mln; lowers FY19 FFO guidance https://t.co/i4GZ0uGlgp,neutral,Twitter
"Willis Towers Watson EPS beats by $0.04, beats on revenue",positive,Twitter
Royal Mail turnaround proving expensive in tough UK market,neutral,FiQA
Disney Is Ready to Drop a Bomb on Netflix in This Huge Market,neutral,Twitter
7 Reasons Your Credit Card May Be Declined -- and How to Resolve Them,neutral,Twitter
"For 2009 , Incap expects revenue of some EUR 70 million .",neutral,FPB
"However , the total orders received will still be above last year s levels .",positive,FPB
"The record date for dividend distribution is March 14 , 2008 .",neutral,FPB
"$QCOM chart: Qualcomm Short 61.8% Retracement, Trendline and Resistance. https://t.co/2WQqh35KOY",negative,FiQA
New lawsuit seeks to pin blame for 737 MAX on Boeing's board,negative,Twitter
"$USA $CRF $SCHX - U.S. is past the peak, economy to reopen shortly - JPMorgan https://t.co/V97lqc11yV",positive,Twitter
Cosmo Energy : FY2019 2Q Financial Results Explanatory Meeting -Q&A (PDF/297K)  #Stock #MarketScreener… https://t.co/61ShLibmmQ,neutral,Twitter
Oracle taking time with Hurd replacement - Bloomberg,neutral,Twitter
"It is also set to launch a messaging service in the next few days , which would enable users to access their e-mail accounts on MS Exchange .",neutral,FPB
"The financial impact is estimated to be an annual improvement of EUR2 .0 m in the division 's results , as of fiscal year 2008 .",positive,FPB
"The item included restructuring costs of EUR1 .6 m , while a year earlier they were EUR13 .1 m. Diluted EPS stood at EUR0 .3 versus a loss per share of EUR 0.1 .",positive,FPB
Copper market may get a 2003-style supply shock from Glencore closures,negative,FiQA
The Hummingbird Project is a pretty good.,neutral,Twitter
"Lee Enterprises plans quarterly call and webcast December 12, 2019  https://t.co/ruv27WLIPv",neutral,Twitter
American regulators voted to impose new restrictions that prohibit US carriers from using federal subsidies to buy… https://t.co/4frzqlJ2Ey,neutral,Twitter
The extracted filtrates are very high in clarity while the dried filter cakes meet required transport moisture limits (TMLs)for their ore grades .,neutral,FPB
Legal & General arm buys 50 pct stake in MediaCityUK in Manchester,positive,FiQA
"""We are only scraping the surface."" The British inventor who built his own 'Iron Man'-style suit has doubled the s… https://t.co/yKjuZOueEt",neutral,Twitter
